time_s,mean_thrust_N,fitted_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.222,4519.712212347477,4453.810870236409,326.84162754734604,4319.712212347477,4719.712212347477
0.224,4519.712212347477,4453.931094181247,330.34827850171064,4319.712212347477,4719.712212347477
0.226,4519.712212347477,4454.051204998395,331.8620194507617,4319.712212347477,4719.712212347477
0.228,4519.712212347477,4454.171202733838,331.4021205579084,4319.712212347477,4719.712212347477
0.23,4519.712212347477,4454.291087433561,329.2624390699228,4319.712212347477,4719.712212347477
0.232,4519.712212347477,4454.4108591435515,325.8509397851627,4319.712212347477,4719.712212347477
0.234,4519.712212347477,4454.530517909795,321.60208352200846,4319.712212347477,4719.712212347477
0.23600000000000002,4519.712212347477,4454.6500637782765,316.9756419722874,4319.712212347477,4719.712212347477
0.23800000000000002,4519.712212347477,4454.769496794983,312.4896768508467,4319.712212347477,4719.712212347477
0.24,4519.712212347477,4454.888817005901,308.78379940081453,4319.712212347477,4719.712212347477
0.242,4519.712212347477,4455.0080244570145,306.5457509603596,4319.712212347477,4719.712212347477
0.244,4519.712212347477,4455.127119194311,306.3424711713303,4319.712212347477,4719.712212347477
0.246,4519.712212347477,4455.246101263775,308.45191811426287,4319.712212347477,4719.712212347477
0.248,4519.712212347477,4455.364970711395,312.69195453522013,4319.712212347477,4719.712212347477
0.25,4519.712212347477,4455.483727583154,318.38640224695223,4319.712212347477,4719.712212347477
0.252,4519.712212347477,4455.60237192504,324.53294364415797,4319.712212347477,4719.712212347477
0.254,4519.712212347477,4455.720903783038,330.0193573747171,4319.712212347477,4719.712212347477
0.256,4519.712212347477,4455.839323203134,334.24968645129377,4319.712212347477,4719.712212347477
0.258,4519.712212347477,4455.957630231315,335.7164556129755,4319.712212347477,4719.712212347477
0.26,4519.712212347477,4456.075824913566,334.57035579475377,4319.712212347477,4719.712212347477
0.262,4519.712212347477,4456.193907295873,332.0903292385536,4319.712212347477,4719.712212347477
0.264,4519.712212347477,4456.311877424221,328.8488703759501,4319.712212347477,4719.712212347477
0.266,4519.712212347477,4456.429735344598,325.58638047654216,4319.712212347477,4719.712212347477
0.268,4519.712212347477,4456.547481102989,322.8832562094924,4319.712212347477,4719.712212347477
0.27,4519.712212347477,4456.66511474538,321.104803489362,4319.712212347477,4719.712212347477
0.272,4519.712212347477,4456.782636317756,320.4169358246522,4319.712212347477,4719.712212347477
0.274,4519.712212347477,4456.900045866106,320.8107543862838,4319.712212347477,4719.712212347477
