time_s,run_1_4-tenso raketa-filtered-regression.txt_thrust_N,run_2_4-tenso raketa-filtered-regression_05_hf1.txt_thrust_N,run_3_4-tenso raketa-filtered-regression_05_hf4.txt_thrust_N,run_4_4-tenso raketa-filtered-regression_05_hf5.txt_thrust_N,run_5_THRUST-testdata.txt_thrust_N
4.292,2835.6565028025634,,,,2874.267369508447
4.2940000000000005,2841.9339286390905,,,,2874.339385903819
4.296,2849.8955924234133,,,,2874.6997402154334
4.298,2859.025443016553,,,,2875.2416195555534
4.3,2868.7320585709967,,,,2875.8462041588277
4.3020000000000005,2878.4045941629875,,,,2876.412447843309
4.304,2887.5644958861626,,,,2876.8791661398855
4.306,2895.873335191105,,,,2877.232165371439
4.308,2903.19953901973,,,,2877.4942328969137
4.3100000000000005,2909.534326975069,,,,2877.702621721728
4.312,2914.9031852910202,,,,2877.8836595854928
4.314,2919.3714044575345,,,,2878.0345578642477
4.316,2922.9490814179794,,,,2878.11866981324
4.3180000000000005,2925.560992848661,,,,2878.074807114778
4.32,2927.1225078536154,,,,2877.8363172979675
4.322,2927.511670430763,,,,2877.352984216818
4.324,2926.5561559549665,,,,2876.608731721975
4.3260000000000005,2924.147861539618,,,,2875.6297987593252
4.328,2920.2020847744366,,,,2874.480606792219
4.33,2914.6579538793617,,,,2873.2479966783317
4.332,2905.2807701763786,,,,2872.0189944628087
4.3340000000000005,2896.7217541651185,,,,2870.8609343654707
4.336,2887.400470047738,,,,2869.812465206418
4.338,2878.040661444607,,,,2868.8887425334487
4.34,2869.035351206034,,,,2868.096805483468
4.3420000000000005,2860.9373802614487,,,,2867.4522513462407
4.344,2854.041888142804,,,,2866.9886430226657
4.346,2848.4435154568137,,,,2866.755524380267
4.348,2844.0926189258244,,,,2866.805848869471
4.3500000000000005,2840.710221454793,,,,2867.1768083565908
4.352,2838.185857706548,,,,2867.869728518065
4.354,2836.255455809631,,,,2868.8353659974227
4.356,2834.761229420264,,,,2869.97035479834
4.358,2833.6382180682917,,,,2871.1283337842033
4.36,2832.8910132494702,,,,2872.1452886277675
4.362,2832.546019220862,,,,2872.8737191073915
4.364,2832.6714877317086,,,,2873.216428673813
4.366,2833.376873925629,,,,2873.149751108397
4.368,2834.7381620997157,,,,2872.7284944658322
4.37,2836.809322185014,,,,2872.0704743903148
4.372,2839.582674197547,,,,2871.3253236208866
4.374,2842.892986382423,,,,2870.6372399734255
4.376,2846.4883290241414,,,,2870.112693786157
4.378,2850.0417931373636,,,,2869.8021419325155
4.38,2853.249936677556,,,,2869.700217162413
4.382,2855.9376758329568,,,,2869.7624434972668
4.384,2858.115468635205,,,,2869.9301815137574
4.386,2860.0440640717966,,,,2870.1522577095093
4.388,2862.110618352038,,,,2870.393901557257
4.39,2864.7500928125537,,,,2870.630847411947
4.392,2868.2424621452706,,,,2870.8351192593614
4.394,2872.6661050782527,,,,2870.963992038435
4.396,2877.8966483688373,,,,2870.96170284811
4.398,2883.6025459641646,,,,2870.775647539977
4.4,2889.438138244389,,,,2870.3797969454513
4.402,2895.0957124372467,,,,2869.7933464749835
4.404,2900.372836438599,,,,2869.08451205669
4.406,2905.136731855563,,,,2868.3561596615505
4.408,2909.2401799186805,,,,2867.7178728026133
4.41,2912.528846769111,,,,2867.254655261483
4.412,2914.7750900719543,,,,2867.0035114731472
4.414,2915.6753505816305,,,,2866.9453456732917
4.416,2915.0264727976173,,,,2867.013041997114
