Time (s),Mach Number
24.524847,0.392141
24.630348,0.388857
24.735850,0.385580
24.841352,0.382313
24.957470,0.378725
25.073589,0.375148
25.189707,0.371581
25.305825,0.368023
25.421944,0.364476
25.567498,0.360043
25.713052,0.355627
25.858607,0.351225
26.004161,0.346840
26.149715,0.342471
26.295269,0.338118
26.509712,0.331734
26.724155,0.325386
26.894332,0.320374
27.064508,0.315385
27.234685,0.310420
27.404861,0.305478
27.575038,0.300561
27.745214,0.295668
27.915391,0.290801
28.085567,0.285960
28.255744,0.281146
28.491101,0.274533
28.682528,0.269194
28.873955,0.263892
29.065382,0.258629
29.256809,0.253407
29.448236,0.248226
29.708032,0.241265
29.967828,0.234389
30.227623,0.227598
30.264555,0.226629
30.301487,0.225662
30.338418,0.224697
30.375350,0.223734
30.449214,0.221814
30.523077,0.219902
30.596940,0.217998
30.670804,0.216103
30.822509,0.212239
30.974214,0.208414
31.125919,0.204629
31.277625,0.200886
31.429330,0.197188
31.615748,0.192707
31.802165,0.188300
31.988583,0.183974
32.175000,0.179731
32.361418,0.175578
32.547835,0.171520
32.790986,0.166381
33.034136,0.161430
33.277287,0.156684
33.520437,0.152160
33.763588,0.147877
34.006738,0.143856
34.309127,0.139251
34.611516,0.135126
34.913905,0.131522
35.216294,0.128481
35.518683,0.126042
35.821072,0.124238
36.123460,0.123096
36.425849,0.122632
36.434115,0.122629
36.438095,0.122628
36.448449,0.122625
36.458802,0.122623
36.479509,0.122621
36.500216,0.122623
36.520923,0.122628
36.685378,0.122780
36.849833,0.123134
37.014288,0.123689
37.178743,0.124440
37.438095,0.126016
37.456090,0.125552
37.474084,0.125095
37.510073,0.124196
37.546062,0.123322
37.582051,0.122473
37.787571,0.118078
37.993091,0.114383
38.198611,0.111311
38.404132,0.108790
38.719525,0.105853
39.034919,0.103870
39.350313,0.102666
39.665707,0.102088
39.981101,0.102000
40.508533,0.102641
41.035964,0.103903
41.563396,0.105471
42.090828,0.107130
42.618260,0.108742
43.145692,0.110227
43.895960,0.112044
44.646227,0.113478
45.396495,0.114546
46.146763,0.115338
46.897030,0.115895
47.456594,0.116184
48.016157,0.116387
48.575720,0.116517
49.135283,0.116587
50.020239,0.116606
50.905194,0.116539
51.790149,0.116412
52.675105,0.116245
53.560060,0.116050
54.445015,0.115837
55.329970,0.115613
56.214926,0.115381
57.283202,0.115095
