time_s,mean_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.33,4350.347733501712,251.13757565410063,4150.347733501712,4550.347733501712
0.332,4358.415981329741,270.136788027326,4158.415981329741,4558.415981329741
0.334,4390.581024249443,294.3994363763266,4190.581024249443,4590.581024249443
0.336,4400.444017407344,304.8935718165077,4200.444017407344,4600.444017407344
0.338,4398.471646015888,311.9233221051642,4198.471646015888,4598.471646015888
0.34,4372.939789887142,305.44957040539487,4172.939789887142,4572.939789887142
0.342,4356.100837272541,285.23077823553473,4156.100837272541,4556.100837272541
0.34400000000000003,4352.135225052935,272.42866547369397,4152.135225052935,4552.135225052935
0.34600000000000003,4331.676785249637,274.7930507639526,4131.676785249637,4531.676785249637
0.34800000000000003,4306.2057259040175,281.91105858855167,4106.2057259040175,4506.2057259040175
0.35000000000000003,4316.652055312321,293.3889298815996,4116.652055312321,4516.652055312321
0.352,4345.465220419279,309.4466719670305,4145.465220419279,4545.465220419279
0.354,4396.854733505157,327.7937179845678,4196.854733505157,4596.854733505157
0.356,4415.740051019446,322.3636031650749,4215.740051019446,4615.740051019446
0.358,4412.668218405617,310.8982567213492,4212.668218405617,4612.668218405617
0.36,4395.999954205617,273.73184483873416,4195.999954205617,4595.999954205617
0.362,4357.554777054686,252.6377895470772,4157.554777054686,4557.554777054686
0.364,4316.413162382786,242.0352675231755,4116.413162382786,4516.413162382786
0.366,4283.387658944882,237.65632316086732,4083.387658944882,4483.387658944882
0.368,4278.427875091692,253.38851249150642,4078.427875091692,4478.427875091692
0.37,4321.230861129645,297.67788086404124,4121.230861129645,4521.230861129645
0.372,4373.291409563654,327.8319488785921,4173.291409563654,4573.291409563654
0.374,4404.096697987779,344.3562935954966,4204.096697987779,4604.096697987779
0.376,4420.662834335383,333.4870179702193,4220.662834335383,4620.662834335383
0.378,4390.119769055442,314.34792578237824,4190.119769055442,4590.119769055442
0.38,4337.414200987912,294.14865324740725,4137.414200987912,4537.414200987912
0.382,4297.179213769969,286.6829517288719,4097.179213769969,4497.179213769969
0.384,4263.944668512706,273.1070323794293,4063.944668512706,4463.944668512706
0.386,4258.834421645157,260.19973842176097,4058.834421645157,4458.834421645157
0.388,4286.184093892734,255.62404996862662,4086.1840938927344,4486.184093892734
0.39,4345.94469828942,268.7391101802922,4145.94469828942,4545.94469828942
0.392,4407.551083159644,281.4365509429717,4207.551083159644,4607.551083159644
0.394,4410.62029358178,295.78652006961653,4210.62029358178,4610.62029358178
0.396,4383.9550775644075,290.4972738003739,4183.9550775644075,4583.9550775644075
0.398,4354.405383884498,275.87517152468115,4154.405383884498,4554.405383884498
0.4,4311.081133762606,269.16128043154964,4111.081133762606,4511.081133762606
